lesson_id,title,strand,sub_strand,learningOutcome,keyInquiryQuestion,suggestedLearningExperience,activityInstructions,mapped_topic,mapped_subtopic,source_file_reference,child_friendly_goal,vocabulary_needed,representation_needed,example_type,practice_type,quick_check_type,difficulty_limit,video_needed,visual_needed,source_pack_status,human_input_needed,safe_to_generate
"853782ed-f7d2-4536-9665-cab6f525dbff","Filling in Missing Numbers 51 to 100","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environment","How can we find the number of objects in a group?","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Learners to read number names from 1-100. Learners in groups of five to count their fingers and toes. Learners in pairs/groups to play games of representing numbers 1-100 using safe concrete objects. ","Number Patterns & Counting","1.1 Number Concept","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"74590ca5-c695-4bf2-a990-6be39c08285b","Counting in 2s Backward up to 100","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: identify place value up to hundreds","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"71850381-f070-437f-8bec-8fec93d6f7cc","Counting in 5s Forward up to 100","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: read numbers 1-100 in symbols","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"a9cb3164-32c1-4b8e-a0bd-a52b03fe4c94","Place Value: Ones and Tens","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Place Value","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","base-ten blocks, place value chart","decomposing numbers into tens and ones","TODO: Victor to provide","digit-value / decompose-number","ones, tens, hundreds","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"93a6b8a3-a810-4774-b24b-117c9d4ec841","Place Value: Hundreds","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Place Value","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","base-ten blocks, place value chart","decomposing numbers into tens and ones","TODO: Victor to provide","digit-value / decompose-number","ones, tens, hundreds","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"22d83674-88b9-4431-ac3c-264ba5115764","Counting in 10s Forward up to 100","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: work out missing numbers in number patterns up to 100","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"db4c0d2d-671b-4a12-975c-c76a3da956c9","Number Patterns: Completing Patterns up to 50","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"8019d7fd-a1a2-417d-9822-d70a676847d0","Counting to 100 *Soh","Number Concept","Counting","Learners should be able to count objects up to 100","","","Provide beads in groups of 10. Learners count aloud.","Number Patterns & Counting","Counting","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"957cb5fc-4055-47ea-844f-e83d520c34cc","Writing Numbers 1 to 10 in Words","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Numbers","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"4b04cd35-ffa5-4ec2-8524-97bebd39238e","Writing Numbers 11 to 20 in Words","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Numbers","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","TODO: Victor to provide","TODO: Victor to specify","TODO: Victor to specify","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"4cac57af-ad3f-4dc4-b6dc-a9c1bb57d59d","Number Patterns: Skip Counting by 2s","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"60572597-f1c3-42d8-aede-0f1198f8f484","Number Patterns: Skip Counting by 5s","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"edefbd62-e357-46fa-8311-cf1a17959cd9","Number Patterns: Skip Counting by 10s","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"326924a2-ea0e-4f05-833a-6f77a629d954","Number Line: Counting Forward","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"b607eeb5-45e9-4fda-9c60-1e85435fc1aa","Number Line: Counting Backward","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"9f5bfa58-7077-453a-afb8-736d7376c8a9","Number Line: Skip Counting","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"0767b9f0-4a75-4a27-b2a2-fa9833c8dae8","Introduction to Halves Using Rectangular Cut-outs","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Halves","1.3 Fractions","Today you will learn what a half is. A half means one of two equal parts.","whole, half, equal parts, fold, shade","paper folding, rectangular cut-outs, shading","Fold a rectangular paper into 2 equal parts. Each part is one half.","Fold, shade, and identify halves in shapes","identify-halves-shape","Halves only (1/2). NO arithmetic.","NO", shaded fraction","fractions-draft-pending-review","identify-fraction-shaded / identify-fraction-parts","NO", NO arithmetic","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"fb0c5c4f-519a-47d6-a021-2526d6d5a665","Number Patterns: Extending Patterns","Numbers","1.2 Whole Numbers","By the end of the lesson, the learner should be able to: appreciate number patterns as they skip on the number line","How do we get the next number in a pattern?","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Learners in pairs/groups to count in 2's and 5's forward and backward starting from any point. Learners in pairs/groups to count their fingers and toes in 2's and 10's. Learners in pairs/groups to dis","Number Patterns & Counting","1.2 Whole Numbers","mathematics-source-extended.csv","TODO: Victor to provide","TODO: Victor to provide","number line, hundred chart, skip counting","skip counting sequences, pattern completion","TODO: Victor to provide","skip-counting / missing-number","1-100, skip by 2s/5s/10s","YES - needs human approval","YES - per topic guidance","new-needs-generation","YES","NO - awaiting source pack completion"
"159f92b9-69c7-45ea-8376-2b15af491360","Identifying 1/2 in Everyday Objects","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Halves in Real Life","1.3 Fractions","Today you will find halves in everyday things like food and objects.","half, equal parts, whole, share, fair","real objects (chapati, cake, fruit), shading","A chapati cut into 2 equal pieces. Each piece is one half.","Identify halves in real-life objects","identify-halves-real-object","Halves only (1/2). Real objects.","NO","YES - needs human approval","fractions-draft-pending-review","new-needs-generation","NO","NO - awaiting source pack completion"
"60441bd5-774f-4135-9871-666fc481b13b","Identifying 1/4 in Everyday Objects","Numbers","1.3 Fractions","By the end of the lesson, the learner should be able to: identify 1/4 as part of a whole","What fraction do you get when you fold a circular paper cut-out into 4 equal parts?","Learners in pairs to make circular paper cut-outs. Learners in pairs to fold the circular paper cut-outs into two equal parts and identify one of the parts as a half of the whole written as 1/2. Learn","Fractions","Quarters in Real Life","1.3 Fractions","Today you will find quarters in everyday things like food and objects.","quarter, equal parts, whole, share, fair","real objects (cake, pizza, chocolate), shading","A cake cut into 4 equal slices. Each slice is one quarter.","Identify quarters in real-life objects","identify-quarters-real-object","Quarters only (1/4). Real objects.","NO","YES - needs human approval","fractions-draft-pending-review","new-needs-generation","NO","NO - awaiting source pack completion"
