lesson_id,title,mapped_topic,current_video_id,current_video_url,current_video_reused,expected_video_topic,video_status,human_review_needed,approved_video_url,backup_video_url,notes
"04a80f76-bf67-4c8c-b3f0-183a3b205e16","Counting Numbers 1 to 100 Backward","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"7e886e8a-9486-430f-b035-12909bd581a6","Filling in Missing Numbers 1 to 50","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"239becec-4f84-4e38-8169-a0bc72730d5f","Counting Numbers 1 to 100 Forward","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"853782ed-f7d2-4536-9665-cab6f525dbff","Filling in Missing Numbers 51 to 100","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"74590ca5-c695-4bf2-a990-6be39c08285b","Counting in 2s Backward up to 100","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"71850381-f070-437f-8bec-8fec93d6f7cc","Counting in 5s Forward up to 100","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"a9cb3164-32c1-4b8e-a0bd-a52b03fe4c94","Place Value: Ones and Tens","Place Value","","","NO","Place Value","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"93a6b8a3-a810-4774-b24b-117c9d4ec841","Place Value: Hundreds","Place Value","","","NO","Place Value","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"22d83674-88b9-4431-ac3c-264ba5115764","Counting in 10s Forward up to 100","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"db4c0d2d-671b-4a12-975c-c76a3da956c9","Number Patterns: Completing Patterns up to 50","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"8019d7fd-a1a2-417d-9822-d70a676847d0","Counting to 100 *Soh","Number Patterns","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Number Patterns","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"957cb5fc-4055-47ea-844f-e83d520c34cc","Writing Numbers 1 to 10 in Words","Reading & Writing Numbers","lxyjIFHXSCA","https://www.youtube.com/watch?v=lxyjIFHXSCA","YES","Reading & Writing Numbers","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"4b04cd35-ffa5-4ec2-8524-97bebd39238e","Writing Numbers 11 to 20 in Words","Reading & Writing Numbers","lxyjIFHXSCA","https://www.youtube.com/watch?v=lxyjIFHXSCA","YES","Reading & Writing Numbers","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"4cac57af-ad3f-4dc4-b6dc-a9c1bb57d59d","Number Patterns: Skip Counting by 2s","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"60572597-f1c3-42d8-aede-0f1198f8f484","Number Patterns: Skip Counting by 5s","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"edefbd62-e357-46fa-8311-cf1a17959cd9","Number Patterns: Skip Counting by 10s","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"326924a2-ea0e-4f05-833a-6f77a629d954","Number Line: Counting Forward","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b607eeb5-45e9-4fda-9c60-1e85435fc1aa","Number Line: Counting Backward","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"9f5bfa58-7077-453a-afb8-736d7376c8a9","Number Line: Skip Counting","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"0767b9f0-4a75-4a27-b2a2-fa9833c8dae8","Introduction to Halves Using Rectangular Cut-outs","Fractions","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Fractions","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"fb0c5c4f-519a-47d6-a021-2526d6d5a665","Number Patterns: Extending Patterns","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"159f92b9-69c7-45ea-8376-2b15af491360","Identifying 1/2 in Everyday Objects","Other","jEYs9Z2w8oU","https://www.youtube.com/watch?v=jEYs9Z2w8oU","YES","Other","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"60441bd5-774f-4135-9871-666fc481b13b","Identifying 1/4 in Everyday Objects","Other","jEYs9Z2w8oU","https://www.youtube.com/watch?v=jEYs9Z2w8oU","YES","Other","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"9b887eb8-0a48-4f37-9689-b53113904728","Introduction to Quarters Using Rectangular Cut-outs","Fractions","iO7owL6Xr_M","https://www.youtube.com/watch?v=iO7owL6Xr_M","NO","Fractions","unverified","YES","TODO: Victor to approve","TODO: Victor to provide",""
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","Fractions","","","NO","Fractions","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b163de06-c0e5-4a42-8bce-ba7dcab330a9","Making Patterns with Fractions","Fractions","lTcewUmUnyE","https://www.youtube.com/watch?v=lTcewUmUnyE","YES","Fractions","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 2 lessons"
"dbadac3a-b59b-4f76-bebf-efda6fb3e261","Digital Games with Fractions","Fractions","lTcewUmUnyE","https://www.youtube.com/watch?v=lTcewUmUnyE","YES","Fractions","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 2 lessons"
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","Fractions","","","NO","Fractions","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","Fractions","","","NO","Fractions","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"4fa40ac0-f60d-4f98-9d23-f85566b28af6","Adding Using the Number Line","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"5f1f7551-1c06-40d2-a10d-14cdece75151","Adding 3 Single Digit Numbers Horizontally","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"70fdce2b-3284-4c89-8497-036aee7d9207","Adding 3 Single Digit Numbers Vertically","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"f58faf50-97f7-4340-b17f-9eff6f08e38d","Adding Single Digit Numbers Vertically","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"3b7a611d-0908-42c8-a0f2-394fdac48db3","Addition: Digital Games","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"0f23169f-b325-40a9-9145-488f5115142b","Addition: Word Problems with 2-Digit Numbers","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"4db719cc-28b2-4a24-82f3-71509f643d54","Addition: Assessment and Review","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"627e0732-926b-4f12-9f0c-a13f170e747a","Addition: Community Application","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"a669d5eb-9e51-4270-a439-7cd2568c5daf","Addition: Practice and Application","Addition","","","NO","Addition","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"17d7857a-a622-4b09-8524-db7be78977f8","Subtracting 2-Digit Numbers Without Regrouping (Vertical)","Subtraction","gBXbs6lVRuo","https://www.youtube.com/watch?v=gBXbs6lVRuo","YES","Subtraction","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 6 lessons"
"b546d836-3292-48a1-b445-134e85b30e20","Subtracting 2-Digit Numbers Without Regrouping (Horizontal)","Subtraction","gBXbs6lVRuo","https://www.youtube.com/watch?v=gBXbs6lVRuo","YES","Subtraction","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 6 lessons"
"11d88b45-b1a6-4143-9c04-42e88e57d080","Subtracting Single Digit Numbers","Subtraction","gBXbs6lVRuo","https://www.youtube.com/watch?v=gBXbs6lVRuo","YES","Subtraction","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 6 lessons"
"bec50c90-2129-4275-8cdb-abb06296e4cf","Subtracting Using the Number Line","Subtraction","gBXbs6lVRuo","https://www.youtube.com/watch?v=gBXbs6lVRuo","YES","Subtraction","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 6 lessons"
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"e20dbfd4-eba4-402d-8743-8e24e00475a2","Using Number Families for Subtraction","Subtraction","gBXbs6lVRuo","https://www.youtube.com/watch?v=gBXbs6lVRuo","YES","Subtraction","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 6 lessons"
"66cdd3b3-858d-4be2-a451-b2f2340bc852","Missing Numbers in Subtraction","Subtraction","gBXbs6lVRuo","https://www.youtube.com/watch?v=gBXbs6lVRuo","YES","Subtraction","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 6 lessons"
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"f4dfc669-06e9-4bea-a6db-a8f601437f76","Subtraction: Final Assessment","Subtraction","","","NO","Subtraction","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b0c38507-b852-4a4c-8767-c0234ef9b89c","Multiplication as Repeated Addition Using Counters","Addition","bo2A425u6hk","https://www.youtube.com/watch?v=bo2A425u6hk","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 9 lessons"
"cff3b7c1-2468-454d-b2da-fe35d49e2456","Writing Multiplication Sentences Using the × Sign","Multiplication","eW1fMMcN0oA","https://www.youtube.com/watch?v=eW1fMMcN0oA","YES","Multiplication","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"f3e92483-c349-4553-ba43-fd277cf2be73","Multiplication as Repeated Addition Using Number Lines","Addition","pAtrNu8y6FQ","https://www.youtube.com/watch?v=pAtrNu8y6FQ","YES","Addition","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 10 lessons"
"0637d6e8-8325-403a-b44a-93f100d48c52","Multiplication: Practice and Application","Multiplication","","","NO","Multiplication","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"2afb0a5b-88e3-4c8e-9ccb-844064b1bd3f","Multiplying by 5 and 10","Multiplication","eW1fMMcN0oA","https://www.youtube.com/watch?v=eW1fMMcN0oA","YES","Multiplication","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"938a3ed5-06ab-430b-a345-b933cce98a68","Multiplying by 3 and 4","Multiplication","eW1fMMcN0oA","https://www.youtube.com/watch?v=eW1fMMcN0oA","YES","Multiplication","unverified","YES","TODO: Victor to approve","TODO: Victor to provide","Video reused in 3 lessons"
"6f189a13-23b4-49da-8acf-a103df240d45","Multiplication: Digital Games","Multiplication","","","NO","Multiplication","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"22374453-e203-461f-bfab-d87b2fae59f0","Multiplication: Patterns and Arrays","Multiplication","","","NO","Multiplication","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"aacd260b-3a71-4a37-8724-61a214487641","Multiplication: Assessment and Review","Multiplication","","","NO","Multiplication","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"09d734a3-a5bc-4402-9d25-a842c5ccc1ea","Division as Equal Grouping","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"40dc0390-2570-45b8-8a37-72c3d49e0e68","Writing Division Sentences Using the ÷ Sign","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"e82fbc22-3f1b-458d-b4f4-0ab50064e6f6","Dividing Numbers up to 25 by 2 and 3","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"e740ce84-ae87-4282-bd10-d9335dd117c4","Division: Word Problems","Reading & Writing Numbers","","","NO","Reading & Writing Numbers","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"85020d62-81c3-4efe-aef5-2abf8c37a5f3","Division: Digital Games","Place Value","","","NO","Place Value","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"f18192e7-33d6-4b2b-9115-b882a36c9015","Division: Practice and Assessment","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"42331b00-d61d-4541-b7ed-8a7dca664484","Comparing Measurements Using Different Units","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"a0832964-1e92-4712-b621-0293fe0d1180","Introducing the Metre as a Standard Unit","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"871b6ab6-d91f-4590-ba55-c895971d4302","Making and Using 1-Metre Sticks","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"9512b162-b896-4329-8bdc-16f0d5b370df","Measuring Mass Using Fixed Units","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"e749a723-2f32-49fe-83f7-262f0b873aeb","Identifying the Kilogram as a Unit of Mass","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"aa83b63f-29b9-4b7d-b8cc-9621abdd8a16","Using a Beam Balance to Compare Mass","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b9a13308-5e08-4251-95fd-251b25648e9b","Making and Using 1 Kilogram Reference Masses","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"3297344e-7e67-4efc-af9b-383168f9fd3a","Measuring Classroom Items in Kilograms","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"0e5d3dcf-fbde-4c5d-84b7-4ca3d4db44fe","Mass in Kilograms: Practice and Assessment","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"ba2b9cc1-9fd3-4cc6-9229-e25b88c6aef8","Filling Containers with 1 Litre Measures","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"25f1f6b8-e4b8-4446-9e6d-fcb0785ff025","Counting Litres Used to Fill Containers","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"11304516-aa21-46f2-8bff-64b8b78a4882","Measuring Capacity of Different Containers in Litres","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"bf762b59-ce71-49c2-a7a2-d13e83a559f8","Comparing Containers Using Litres","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"83586eb9-46fa-447f-8a4d-d2a733e8098d","Capacity in Litres: Real-Life Practice","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"f57f76e0-d89a-4008-9133-96307600775a","Capacity in Litres: Practice and Assessment","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"ffd55a4b-a06e-429a-a664-bd7d12b9d6e0","Months of the Year and Activities","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"f2a52e96-1524-4154-9984-67ec8ac37846","Number of Days in Each Month","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"3d62e0f4-74d5-4850-bad1-15c1764559e6","Measuring Time Using Arbitrary Units","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"27ee7818-cc7f-4094-9ad0-f1bc16adc146","Measuring Time Using Fixed Units","Measurement","","","NO","Measurement","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"ce4ca0e3-368e-4f1f-90b4-4939805ef01d","Identifying the Clock Face","Time","","","NO","Time","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"8100f021-2df1-4a31-a284-68ab3120536f","Hour Hand and Minute Hand","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b95ac1a5-4ffc-45fa-9a97-9429d32ece97","Reading Time by the Hour on an Analogue Clock","Time","","","NO","Time","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"af6cafca-2aa7-4dfe-9058-f61201f5fbb5","Writing Time by the Hour","Time","","","NO","Time","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b82e24ed-8fcf-41b6-a7eb-88b8cf9c33aa","Time by the Hour in Daily Life","Time","","","NO","Time","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"736c02da-89a2-479f-80bc-87fca0d45683","Time: Practice and Assessment","Time","","","NO","Time","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"5e85be83-a1bd-4083-9541-001314eab7c6","Sorting Coins and Notes by Features","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"286af17f-a512-49d7-af6d-e5655251f4ef","Counting Money: Sh.1, Sh.5 and Sh.10","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"e7fe9c54-78ef-40dd-8f1c-145becf4c069","Making the Same Amount in Different Denominations","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"d58def14-a976-4701-93b6-d4ace7a49976","Relating Money to Goods and Services","Money","","","NO","Money","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"d1d348ad-ebb3-4924-8954-7a972f263716","Classroom Shop: Buying and Selling","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"f1a523d2-a0fb-43d7-8db9-2896598a9c05","Choosing What to Buy with Sh.100","Other","","","NO","Other","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"e03ddcd9-227b-437d-93bb-5eafdc3a7a79","Money: Practice and Assessment","Money","","","NO","Money","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"af79707c-74f4-403e-b704-06e777df3aac","Drawing Straight Lines","Geometry","","","NO","Geometry","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"597dfffc-1983-4c17-afb9-fd7162e73fb8","Lines in the Environment: Practice and Assessment","Geometry","","","NO","Geometry","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"0aec1d3b-7635-46fe-b4af-3a50a38dae65","Modelling Straight Lines","Geometry","","","NO","Geometry","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"10f674d4-3f62-4f9e-9008-1d1eb825595a","Modelling Curved Lines","Geometry","","","NO","Geometry","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"44ff5ced-66a0-401b-89df-47566ae901a8","Sorting and Grouping Five Shapes","Geometry","","","NO","Geometry","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"b1612ed2-525f-4f6c-a81b-48a7d9836a7e","Lines That Make Different Shapes","Geometry","","","NO","Geometry","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
"814cf15e-80ae-4778-8c55-1f99ccb5f5ae","Making Patterns with Five Shapes","Number Patterns","","","NO","Number Patterns","missing","YES","TODO: Victor to approve","TODO: Victor to provide",""
