"grade","subject","strand","sub_strand","learning_outcome","lesson_title","term","week","activity_title","activity_instructions","quest_title","quest_instructions","reflection_prompt","reward_coins","reward_stars","estimated_duration","difficulty"
"2","Mathematical Activities","Numbers","Multiplication","Learners should be able to demonstrate understanding of introduction to multiplication","Introduction to Multiplication","Term 1","Week 12","Activity: Introduction to Multiplication","Engage learners in hands-on activities related to introduction to multiplication. Use locally available materials.","Multiplication Quest","Explore multiplication through interactive activities and practice.","What did you learn about introduction to multiplication today?","10","1","30","Beginner"
"2","Mathematical Activities","Numbers","Multiplication","Learners should be able to demonstrate understanding of multiplication facts up to 5 x 5","Multiplication Facts up to 5 x 5","Term 1","Week 12","Activity: Multiplication Facts up to 5 x 5","Engage learners in hands-on activities related to multiplication facts up to 5 x 5. Use locally available materials.","Multiplication Quest","Explore multiplication through interactive activities and practice.","What did you learn about multiplication facts up to 5 x 5 today?","10","1","30","Beginner"
"2","Mathematical Activities","Numbers","Fractions","Learners should be able to demonstrate understanding of identifying a half","Identifying a Half","Term 1","Week 12","Activity: Identifying a Half","Engage learners in hands-on activities related to identifying a half. Use locally available materials.","Fractions Quest","Explore fractions through interactive activities and practice.","What did you learn about identifying a half today?","10","1","30","Beginner"
"2","Mathematical Activities","Numbers","Fractions","Learners should be able to demonstrate understanding of identifying a quarter","Identifying a Quarter","Term 1","Week 12","Activity: Identifying a Quarter","Engage learners in hands-on activities related to identifying a quarter. Use locally available materials.","Fractions Quest","Explore fractions through interactive activities and practice.","What did you learn about identifying a quarter today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Length","Learners should be able to demonstrate understanding of measuring length using non-standard units","Measuring Length Using Non-Standard Units","Term 1","Week 12","Activity: Measuring Length Using Non-Standard Units","Engage learners in hands-on activities related to measuring length using non-standard units. Use locally available materials.","Length Quest","Explore length through interactive activities and practice.","What did you learn about measuring length using non-standard units today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Length","Learners should be able to demonstrate understanding of measuring length in metres","Measuring Length in Metres","Term 1","Week 12","Activity: Measuring Length in Metres","Engage learners in hands-on activities related to measuring length in metres. Use locally available materials.","Length Quest","Explore length through interactive activities and practice.","What did you learn about measuring length in metres today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Mass","Learners should be able to demonstrate understanding of comparing mass: heavier, lighter, same","Comparing Mass: Heavier, Lighter, Same","Term 1","Week 12","Activity: Comparing Mass: Heavier, Lighter, Same","Engage learners in hands-on activities related to comparing mass: heavier, lighter, same. Use locally available materials.","Mass Quest","Explore mass through interactive activities and practice.","What did you learn about comparing mass: heavier, lighter, same today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Capacity","Learners should be able to demonstrate understanding of measuring liquid using smaller containers","Measuring Liquid Using Smaller Containers","Term 1","Week 12","Activity: Measuring Liquid Using Smaller Containers","Engage learners in hands-on activities related to measuring liquid using smaller containers. Use locally available materials.","Capacity Quest","Explore capacity through interactive activities and practice.","What did you learn about measuring liquid using smaller containers today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Capacity","Learners should be able to demonstrate understanding of comparing how much liquid containers hold","Comparing How Much Liquid Containers Hold","Term 1","Week 12","Activity: Comparing How Much Liquid Containers Hold","Engage learners in hands-on activities related to comparing how much liquid containers hold. Use locally available materials.","Capacity Quest","Explore capacity through interactive activities and practice.","What did you learn about comparing how much liquid containers hold today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Time","Learners should be able to demonstrate understanding of reading time by the hour","Reading Time by the Hour","Term 1","Week 12","Activity: Reading Time by the Hour","Engage learners in hands-on activities related to reading time by the hour. Use locally available materials.","Time Quest","Explore time through interactive activities and practice.","What did you learn about reading time by the hour today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Time","Learners should be able to demonstrate understanding of reading time by the half-hour","Reading Time by the Half-Hour","Term 1","Week 12","Activity: Reading Time by the Half-Hour","Engage learners in hands-on activities related to reading time by the half-hour. Use locally available materials.","Time Quest","Explore time through interactive activities and practice.","What did you learn about reading time by the half-hour today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Time","Learners should be able to demonstrate understanding of identifying days of the week","Identifying Days of the Week","Term 1","Week 12","Activity: Identifying Days of the Week","Engage learners in hands-on activities related to identifying days of the week. Use locally available materials.","Time Quest","Explore time through interactive activities and practice.","What did you learn about identifying days of the week today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Money","Learners should be able to demonstrate understanding of recognizing kenyan coins up to ksh 100","Recognizing Kenyan Coins up to Ksh 100","Term 1","Week 12","Activity: Recognizing Kenyan Coins up to Ksh 100","Engage learners in hands-on activities related to recognizing kenyan coins up to ksh 100. Use locally available materials.","Money Quest","Explore money through interactive activities and practice.","What did you learn about recognizing kenyan coins up to ksh 100 today?","10","1","30","Beginner"
"2","Mathematical Activities","Measurement","Money","Learners should be able to demonstrate understanding of simple shopping simulations","Simple Shopping Simulations","Term 1","Week 12","Activity: Simple Shopping Simulations","Engage learners in hands-on activities related to simple shopping simulations. Use locally available materials.","Money Quest","Explore money through interactive activities and practice.","What did you learn about simple shopping simulations today?","10","1","30","Beginner"
"2","Mathematical Activities","Geometry","Shapes","Learners should be able to demonstrate understanding of recognizing rectangles, squares, circles, triangles","Recognizing Rectangles, Squares, Circles, Triangles","Term 1","Week 12","Activity: Recognizing Rectangles, Squares, Circles, Triangles","Engage learners in hands-on activities related to recognizing rectangles, squares, circles, triangles. Use locally available materials.","Shapes Quest","Explore shapes through interactive activities and practice.","What did you learn about recognizing rectangles, squares, circles, triangles today?","10","1","30","Beginner"
"2","Mathematical Activities","Geometry","Shapes","Learners should be able to demonstrate understanding of making patterns with shapes","Making Patterns with Shapes","Term 1","Week 12","Activity: Making Patterns with Shapes","Engage learners in hands-on activities related to making patterns with shapes. Use locally available materials.","Shapes Quest","Explore shapes through interactive activities and practice.","What did you learn about making patterns with shapes today?","10","1","30","Beginner"
