lesson_id,title,journey_field,defect_type,severity,evidence,recommended_fix,needs_source_pack
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"7e886e8a-9486-430f-b035-12909bd581a6","Filling in Missing Numbers 1 to 50","studentJourneyDraft","generic_greeting","low","Step 1: generic welcome","use lesson-specific welcome","yes"
"853782ed-f7d2-4536-9665-cab6f525dbff","Filling in Missing Numbers 51 to 100","studentJourneyDraft","generic_greeting","low","Step 1: generic welcome","use lesson-specific welcome","yes"
"a9cb3164-32c1-4b8e-a0bd-a52b03fe4c94","Place Value: Ones and Tens","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"a9cb3164-32c1-4b8e-a0bd-a52b03fe4c94","Place Value: Ones and Tens","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"a9cb3164-32c1-4b8e-a0bd-a52b03fe4c94","Place Value: Ones and Tens","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"93a6b8a3-a810-4774-b24b-117c9d4ec841","Place Value: Hundreds","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"93a6b8a3-a810-4774-b24b-117c9d4ec841","Place Value: Hundreds","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"93a6b8a3-a810-4774-b24b-117c9d4ec841","Place Value: Hundreds","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"db4c0d2d-671b-4a12-975c-c76a3da956c9","Number Patterns: Completing Patterns up to 50","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"db4c0d2d-671b-4a12-975c-c76a3da956c9","Number Patterns: Completing Patterns up to 50","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"db4c0d2d-671b-4a12-975c-c76a3da956c9","Number Patterns: Completing Patterns up to 50","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"4cac57af-ad3f-4dc4-b6dc-a9c1bb57d59d","Number Patterns: Skip Counting by 2s","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"4cac57af-ad3f-4dc4-b6dc-a9c1bb57d59d","Number Patterns: Skip Counting by 2s","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"4cac57af-ad3f-4dc4-b6dc-a9c1bb57d59d","Number Patterns: Skip Counting by 2s","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"60572597-f1c3-42d8-aede-0f1198f8f484","Number Patterns: Skip Counting by 5s","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"60572597-f1c3-42d8-aede-0f1198f8f484","Number Patterns: Skip Counting by 5s","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"60572597-f1c3-42d8-aede-0f1198f8f484","Number Patterns: Skip Counting by 5s","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"edefbd62-e357-46fa-8311-cf1a17959cd9","Number Patterns: Skip Counting by 10s","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"edefbd62-e357-46fa-8311-cf1a17959cd9","Number Patterns: Skip Counting by 10s","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"edefbd62-e357-46fa-8311-cf1a17959cd9","Number Patterns: Skip Counting by 10s","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"326924a2-ea0e-4f05-833a-6f77a629d954","Number Line: Counting Forward","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"326924a2-ea0e-4f05-833a-6f77a629d954","Number Line: Counting Forward","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"326924a2-ea0e-4f05-833a-6f77a629d954","Number Line: Counting Forward","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"b607eeb5-45e9-4fda-9c60-1e85435fc1aa","Number Line: Counting Backward","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"b607eeb5-45e9-4fda-9c60-1e85435fc1aa","Number Line: Counting Backward","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"b607eeb5-45e9-4fda-9c60-1e85435fc1aa","Number Line: Counting Backward","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"9f5bfa58-7077-453a-afb8-736d7376c8a9","Number Line: Skip Counting","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"9f5bfa58-7077-453a-afb8-736d7376c8a9","Number Line: Skip Counting","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"9f5bfa58-7077-453a-afb8-736d7376c8a9","Number Line: Skip Counting","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"0767b9f0-4a75-4a27-b2a2-fa9833c8dae8","Introduction to Halves Using Rectangular Cut-outs","studentJourneyDraft","generic_greeting","low","Step 1: generic welcome","use lesson-specific welcome","yes"
"fb0c5c4f-519a-47d6-a021-2526d6d5a665","Number Patterns: Extending Patterns","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"fb0c5c4f-519a-47d6-a021-2526d6d5a665","Number Patterns: Extending Patterns","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"fb0c5c4f-519a-47d6-a021-2526d6d5a665","Number Patterns: Extending Patterns","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","studentJourneyDraft","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","studentJourneyDraft","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"839653eb-cd5e-405b-a483-b6d307fee352","Comparing Fractions: 1/2 and 1/4","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"b163de06-c0e5-4a42-8bce-ba7dcab330a9","Making Patterns with Fractions","studentJourneyDraft","generic_greeting","low","Step 1: generic welcome","use lesson-specific welcome","yes"
"dbadac3a-b59b-4f76-bebf-efda6fb3e261","Digital Games with Fractions","studentJourneyDraft","generic_greeting","low","Step 1: generic welcome","use lesson-specific welcome","yes"
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","studentJourneyDraft","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","studentJourneyDraft","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"c71a49c8-e9c6-41e5-b6ef-ad0aa386a59f","Fractions: Practice and Application","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","studentJourneyDraft","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","studentJourneyDraft","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"2e1869d6-f5df-46a1-9d02-b4b53a1062fe","Fractions: Assessment and Reflection","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"3b7a611d-0908-42c8-a0f2-394fdac48db3","Addition: Digital Games","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"3b7a611d-0908-42c8-a0f2-394fdac48db3","Addition: Digital Games","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"3b7a611d-0908-42c8-a0f2-394fdac48db3","Addition: Digital Games","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"0f23169f-b325-40a9-9145-488f5115142b","Addition: Word Problems with 2-Digit Numbers","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"0f23169f-b325-40a9-9145-488f5115142b","Addition: Word Problems with 2-Digit Numbers","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"0f23169f-b325-40a9-9145-488f5115142b","Addition: Word Problems with 2-Digit Numbers","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"4db719cc-28b2-4a24-82f3-71509f643d54","Addition: Assessment and Review","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"4db719cc-28b2-4a24-82f3-71509f643d54","Addition: Assessment and Review","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"4db719cc-28b2-4a24-82f3-71509f643d54","Addition: Assessment and Review","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","studentJourney","qc_unrelated_to_topic","high","QC doesn't match addition topic","rewrite QC for addition","yes"
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"4da16052-0c43-48f6-8413-b802526461f0","Addition: Missing Numbers in Patterns","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","studentJourney","qc_unrelated_to_topic","high","QC doesn't match addition topic","rewrite QC for addition","yes"
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"fe6f4998-52b5-40eb-8e39-2e8e3432b8ab","Addition: Creating Number Patterns","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"627e0732-926b-4f12-9f0c-a13f170e747a","Addition: Community Application","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"627e0732-926b-4f12-9f0c-a13f170e747a","Addition: Community Application","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"627e0732-926b-4f12-9f0c-a13f170e747a","Addition: Community Application","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"a669d5eb-9e51-4270-a439-7cd2568c5daf","Addition: Practice and Application","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"a669d5eb-9e51-4270-a439-7cd2568c5daf","Addition: Practice and Application","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"a669d5eb-9e51-4270-a439-7cd2568c5daf","Addition: Practice and Application","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"17d7857a-a622-4b09-8524-db7be78977f8","Subtracting 2-Digit Numbers Without Regrouping (Vertical)","studentJourneyDraft","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"b546d836-3292-48a1-b445-134e85b30e20","Subtracting 2-Digit Numbers Without Regrouping (Horizontal)","studentJourneyDraft","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"11d88b45-b1a6-4143-9c04-42e88e57d080","Subtracting Single Digit Numbers","studentJourneyDraft","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"bec50c90-2129-4275-8cdb-abb06296e4cf","Subtracting Using the Number Line","studentJourneyDraft","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"93e1418a-7f84-4a4c-864a-be2e6b12cdfb","Word Problems: Subtraction Within 100","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"e20dbfd4-eba4-402d-8743-8e24e00475a2","Using Number Families for Subtraction","studentJourneyDraft","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"66cdd3b3-858d-4be2-a451-b2f2340bc852","Missing Numbers in Subtraction","studentJourneyDraft","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"a2c19258-4fce-4d87-bb6b-c92e5d79e3b2","Subtraction: Practice and Application","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"a295ff53-4930-4a82-b76d-38b0f6acd3ec","Subtraction: Digital Games","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"c6bb3650-4995-47df-98ac-e3e34411aff4","Subtraction: Word Problems","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"7a0a98dd-9540-47fc-9fc5-7d8af38527df","Subtraction: Missing Numbers in Patterns","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"23d35317-4c2b-4118-ae0e-11c80e8c85ea","Subtraction: Creating Patterns","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"85f7ad4c-a8d7-4aea-b5fc-b8d372d37a3f","Subtraction: Comparing Groups","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"54d40989-42ac-4220-9204-2a90fe73aa35","Subtraction: Community Service","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"01f283c3-2b7c-44ea-9d2a-8d7782a8cb1a","Subtraction: Review and Reflection","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"f4dfc669-06e9-4bea-a6db-a8f601437f76","Subtraction: Final Assessment","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"f4dfc669-06e9-4bea-a6db-a8f601437f76","Subtraction: Final Assessment","studentJourney","qc_unrelated_to_topic","high","QC doesn't match subtraction topic","rewrite QC for subtraction","yes"
"f4dfc669-06e9-4bea-a6db-a8f601437f76","Subtraction: Final Assessment","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"f4dfc669-06e9-4bea-a6db-a8f601437f76","Subtraction: Final Assessment","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"0637d6e8-8325-403a-b44a-93f100d48c52","Multiplication: Practice and Application","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"0637d6e8-8325-403a-b44a-93f100d48c52","Multiplication: Practice and Application","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"0637d6e8-8325-403a-b44a-93f100d48c52","Multiplication: Practice and Application","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"6f189a13-23b4-49da-8acf-a103df240d45","Multiplication: Digital Games","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"6f189a13-23b4-49da-8acf-a103df240d45","Multiplication: Digital Games","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"6f189a13-23b4-49da-8acf-a103df240d45","Multiplication: Digital Games","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"22374453-e203-461f-bfab-d87b2fae59f0","Multiplication: Patterns and Arrays","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"22374453-e203-461f-bfab-d87b2fae59f0","Multiplication: Patterns and Arrays","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"22374453-e203-461f-bfab-d87b2fae59f0","Multiplication: Patterns and Arrays","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"aacd260b-3a71-4a37-8724-61a214487641","Multiplication: Assessment and Review","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"aacd260b-3a71-4a37-8724-61a214487641","Multiplication: Assessment and Review","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"aacd260b-3a71-4a37-8724-61a214487641","Multiplication: Assessment and Review","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"09d734a3-a5bc-4402-9d25-a842c5ccc1ea","Division as Equal Grouping","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"09d734a3-a5bc-4402-9d25-a842c5ccc1ea","Division as Equal Grouping","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"09d734a3-a5bc-4402-9d25-a842c5ccc1ea","Division as Equal Grouping","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"40dc0390-2570-45b8-8a37-72c3d49e0e68","Writing Division Sentences Using the ÷ Sign","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"40dc0390-2570-45b8-8a37-72c3d49e0e68","Writing Division Sentences Using the ÷ Sign","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"40dc0390-2570-45b8-8a37-72c3d49e0e68","Writing Division Sentences Using the ÷ Sign","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"e82fbc22-3f1b-458d-b4f4-0ab50064e6f6","Dividing Numbers up to 25 by 2 and 3","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"e82fbc22-3f1b-458d-b4f4-0ab50064e6f6","Dividing Numbers up to 25 by 2 and 3","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"e82fbc22-3f1b-458d-b4f4-0ab50064e6f6","Dividing Numbers up to 25 by 2 and 3","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"e740ce84-ae87-4282-bd10-d9335dd117c4","Division: Word Problems","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"e740ce84-ae87-4282-bd10-d9335dd117c4","Division: Word Problems","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"e740ce84-ae87-4282-bd10-d9335dd117c4","Division: Word Problems","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"85020d62-81c3-4efe-aef5-2abf8c37a5f3","Division: Digital Games","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"85020d62-81c3-4efe-aef5-2abf8c37a5f3","Division: Digital Games","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"85020d62-81c3-4efe-aef5-2abf8c37a5f3","Division: Digital Games","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
"f18192e7-33d6-4b2b-9115-b882a36c9015","Division: Practice and Assessment","studentJourney","missing_correct_index","critical","Step 8: no correctIndex","set correctIndex","yes"
"f18192e7-33d6-4b2b-9115-b882a36c9015","Division: Practice and Assessment","studentJourney","missing_svg","medium","No SVG illustration found in journey","add SVG illustrations","yes"
"f18192e7-33d6-4b2b-9115-b882a36c9015","Division: Practice and Assessment","studentJourney","missing_video","low","No video URL in journey","add relevant YouTube video","yes"
