lesson_id,title,has_svg,svg_count,svg_generic,svg_useful,needs_replacement
"22374453-e203-461f-bfab-d87b2fae59f0","Multiplication: Patterns and Arrays","","","","","true"
"aacd260b-3a71-4a37-8724-61a214487641","Multiplication: Assessment and Review","","","","","true"
"09d734a3-a5bc-4402-9d25-a842c5ccc1ea","Division as Equal Grouping","","","","","true"
"40dc0390-2570-45b8-8a37-72c3d49e0e68","Writing Division Sentences Using the ÷ Sign","","","","","true"
"e82fbc22-3f1b-458d-b4f4-0ab50064e6f6","Dividing Numbers up to 25 by 2 and 3","","","","","true"
"e740ce84-ae87-4282-bd10-d9335dd117c4","Division: Word Problems","","","","","true"
"85020d62-81c3-4efe-aef5-2abf8c37a5f3","Division: Digital Games","","","","","true"
"f18192e7-33d6-4b2b-9115-b882a36c9015","Division: Practice and Assessment","","","","","true"
"42331b00-d61d-4541-b7ed-8a7dca664484","Comparing Measurements Using Different Units","","","","","true"
"a0832964-1e92-4712-b621-0293fe0d1180","Introducing the Metre as a Standard Unit","","","","","true"
"871b6ab6-d91f-4590-ba55-c895971d4302","Making and Using 1-Metre Sticks","","","","","true"
"9512b162-b896-4329-8bdc-16f0d5b370df","Measuring Mass Using Fixed Units","","","","","true"
"e749a723-2f32-49fe-83f7-262f0b873aeb","Identifying the Kilogram as a Unit of Mass","","","","","true"
"aa83b63f-29b9-4b7d-b8cc-9621abdd8a16","Using a Beam Balance to Compare Mass","","","","","true"
"b9a13308-5e08-4251-95fd-251b25648e9b","Making and Using 1 Kilogram Reference Masses","","","","","true"
"3297344e-7e67-4efc-af9b-383168f9fd3a","Measuring Classroom Items in Kilograms","","","","","true"
"0e5d3dcf-fbde-4c5d-84b7-4ca3d4db44fe","Mass in Kilograms: Practice and Assessment","","","","","true"
"ba2b9cc1-9fd3-4cc6-9229-e25b88c6aef8","Filling Containers with 1 Litre Measures","","","","","true"
"25f1f6b8-e4b8-4446-9e6d-fcb0785ff025","Counting Litres Used to Fill Containers","","","","","true"
"11304516-aa21-46f2-8bff-64b8b78a4882","Measuring Capacity of Different Containers in Litres","","","","","true"
"bf762b59-ce71-49c2-a7a2-d13e83a559f8","Comparing Containers Using Litres","","","","","true"
"83586eb9-46fa-447f-8a4d-d2a733e8098d","Capacity in Litres: Real-Life Practice","","","","","true"
"f57f76e0-d89a-4008-9133-96307600775a","Capacity in Litres: Practice and Assessment","","","","","true"
"ffd55a4b-a06e-429a-a664-bd7d12b9d6e0","Months of the Year and Activities","","","","","true"
"f2a52e96-1524-4154-9984-67ec8ac37846","Number of Days in Each Month","","","","","true"
"3d62e0f4-74d5-4850-bad1-15c1764559e6","Measuring Time Using Arbitrary Units","","","","","true"
"27ee7818-cc7f-4094-9ad0-f1bc16adc146","Measuring Time Using Fixed Units","","","","","true"
"ce4ca0e3-368e-4f1f-90b4-4939805ef01d","Identifying the Clock Face","","","","","true"
"8100f021-2df1-4a31-a284-68ab3120536f","Hour Hand and Minute Hand","","","","","true"
"b95ac1a5-4ffc-45fa-9a97-9429d32ece97","Reading Time by the Hour on an Analogue Clock","","","","","true"
"af6cafca-2aa7-4dfe-9058-f61201f5fbb5","Writing Time by the Hour","","","","","true"
"b82e24ed-8fcf-41b6-a7eb-88b8cf9c33aa","Time by the Hour in Daily Life","","","","","true"
"736c02da-89a2-479f-80bc-87fca0d45683","Time: Practice and Assessment","","","","","true"
"5e85be83-a1bd-4083-9541-001314eab7c6","Sorting Coins and Notes by Features","","","","","true"
"286af17f-a512-49d7-af6d-e5655251f4ef","Counting Money: Sh.1, Sh.5 and Sh.10","","","","","true"
"e7fe9c54-78ef-40dd-8f1c-145becf4c069","Making the Same Amount in Different Denominations","","","","","true"
"d58def14-a976-4701-93b6-d4ace7a49976","Relating Money to Goods and Services","","","","","true"
"d1d348ad-ebb3-4924-8954-7a972f263716","Classroom Shop: Buying and Selling","","","","","true"
"f1a523d2-a0fb-43d7-8db9-2896598a9c05","Choosing What to Buy with Sh.100","","","","","true"
"e03ddcd9-227b-437d-93bb-5eafdc3a7a79","Money: Practice and Assessment","","","","","true"
"af79707c-74f4-403e-b704-06e777df3aac","Drawing Straight Lines","","","","","true"
"597dfffc-1983-4c17-afb9-fd7162e73fb8","Lines in the Environment: Practice and Assessment","","","","","true"
"0aec1d3b-7635-46fe-b4af-3a50a38dae65","Modelling Straight Lines","","","","","true"
"10f674d4-3f62-4f9e-9008-1d1eb825595a","Modelling Curved Lines","","","","","true"
"44ff5ced-66a0-401b-89df-47566ae901a8","Sorting and Grouping Five Shapes","","","","","true"
"b1612ed2-525f-4f6c-a81b-48a7d9836a7e","Lines That Make Different Shapes","","","","","true"
"814cf15e-80ae-4778-8c55-1f99ccb5f5ae","Making Patterns with Five Shapes","","","","","true"
