lessonId,title,slug,subject,strand,subStrand,learningOutcome,status,journeySource,pubStepCount,draftStepCount,pubSeverity,draftSeverity,worstSeverity,pubFlags,draftFlags,sampleText
"2fbf6938-cad5-4f67-bb24-86286b188920","What Is Breakfast?","g2-hygiene-nutrition-what-is-breakfast","Hygiene & Nutrition","Health Practices","1.1 Importance of Breakfast — 3 official lesson(s)","By the end of the lesson, the learner should be able to explain the meaning of breakfast, identify when breakfast is tak","PUBLISHED","none","","","empty","empty","empty","","",""
"e0000004-0000-0000-0000-000000000004","Adding Within 20","adding-within-20-g2","Mathematics","","","","PUBLISHED","legacy","","","legacy","legacy","legacy","","",""
"95b7d152-18ab-4e3e-8114-19742f6839a0","Measuring Length in Metres/m","g2-mathematics-measuring-length-in-metres","Mathematics","Measurement","Length","By the end of the lesson, the learner should be able to measure the length of classroom objects using fixed units, ident","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","QC_NO_CORRECT_INDEX","QC_NO_CORRECT_INDEX","hi there! i'm owl, and i'm so excited to go on this measuring adventure with you. we'll discover how long things really are using metres! hello, friend! today we are going to be length detectives. we "
"f9dd1dbb-250d-4591-af46-ad35e335d40c","Comparing Numbers","g2-mathematics-comparing-numbers","Mathematics","Numbers","Whole Numbers","Compare numbers","PUBLISHED","published","10","","likely_clean","empty","likely_clean","GENERIC: ""take a moment to think""","","hello, little star! i am so happy to learn with you today. we are going to play a fun game of comparing. don't worry if it feels tricky at first — i will be right here to help you every step of the wa"
"e0000002-0000-0000-0000-000000000002","Counting by Tens","counting-tens-g2","Mathematics","","","","PUBLISHED","legacy","","","legacy","legacy","legacy","","",""
"72ab18ad-c642-4810-9530-432acb24919b","Watching and Discussing Safe Hopping Movements","g2-movement-watching-and-discussing-safe-hopping-movements","Movement","Movement: Basic Movement Skills","1.1 Locomotor Skills: Hopping — 12 official lesson(s)","By the end of the lesson, the learner should be able to name body parts used when hopping, perform hopping in different ","PUBLISHED","none","","","empty","empty","empty","","",""
"f4e26358-b2e5-4612-a111-2f0255c39b8a","Responding to Questions","responding-to-questions","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Use appropriate non-verbal communication cues to indicate understanding of questions and instructions","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through questions. are you ready? welcome! our mission is to learn about l"
"91d8d7eb-51d1-49b6-b4b9-539bcf12eef0","Foods and Drinks We Take in the Morning","g2-hygiene-nutrition-foods-and-drinks-we-take-in-the-morning","Hygiene & Nutrition","Health Practices","1.1 Importance of Breakfast — 3 official lesson(s)","By the end of the lesson, the learner should be able to explain the meaning of breakfast, identify when breakfast is tak","PUBLISHED","none","","","empty","empty","empty","","",""
"e0000005-0000-0000-0000-000000000005","Word Problems","word-problems-g2","Mathematics","","","","PUBLISHED","legacy","","","legacy","legacy","legacy","","",""
"5986360b-cbee-419c-a721-615fc08bf6e5","Naming Sunny, Windy, Cloudy, Calm and Rainy Weather","g2-environmental-naming-sunny-windy-cloudy-calm-and-rainy-weather","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","none","","","empty","empty","empty","","",""
"a97ab36c-9ad2-428d-832f-e688bea73382","Reading Numbers 51 to 100 in Symbols","g2-mathematics-reading-numbers-51-to-100-in-symbols","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environme","PUBLISHED","draft","","10","empty","clean","clean","","",""
"cecd2cf3-8be7-4838-898c-28feadb78c86","School: Vocabulary and Pronunciation","g2-english-school-vocabulary-and-pronunciation","English","Listening and Speaking","1.2 Pronunciation and Vocabulary — School: The verb to be: was and were","By the end of the lesson, the learner should be able to: recognise consonant blends, pronounce theme vocabulary correctl","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","hello! today we will learn about vocabulary together. hello, friend! today we are going to learn about vocabulary through school. are you ready? welcome! our mission is to learn about vocabulary. lear"
"e23ddac2-b3c0-4a5b-a268-b07caa886dae","Kutambua herufi g, d, j na r kwenye maneno","g2-kiswahili-kutambua-herufi-g-d-j-na-r-kwenye-maneno","Kiswahili","Sauti na Herufi","Shuleni — Sauti na majina ya herufi za Kiswahili","By the end of the lesson, the learner should be able to: recognise the letters that represent the target sounds in simpl","PUBLISHED","none","","","empty","empty","empty","","",""
"7467dbf9-30e0-40ac-be82-79604abe93d3","Why Breakfast Is an Important Healthy Habit","g2-hygiene-nutrition-why-breakfast-is-an-important-healthy-habit","Hygiene & Nutrition","Health Practices","1.1 Importance of Breakfast — 3 official lesson(s)","By the end of the lesson, the learner should be able to explain the meaning of breakfast, identify when breakfast is tak","PUBLISHED","none","","","empty","empty","empty","","",""
"e0000003-0000-0000-0000-000000000003","Reading and Writing Numbers","reading-writing-numbers-g2","Mathematics","","","","PUBLISHED","legacy","","","legacy","legacy","legacy","","",""
"4dfa0142-b4da-4da8-89b3-4c17dc6118d3","Responding Safely to Hot Weather","g2-environmental-responding-safely-to-hot-weather","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","none","","","empty","empty","empty","","",""
"87237a2e-c253-465e-aac9-0db3ae2ee610","Syllables in Words","syllables-in-words","English Language Activities","1.0 Listening","1.2 Word and Sentence Formation","Identify the number of syllables in a word","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","hello! today we will learn about vocabulary together. hello, friend! today we are going to learn about vocabulary through word skills. are you ready? welcome! our mission is to learn about vocabulary."
"fc499e63-cbda-4217-a64a-ae9da9a24205","Demonstrating Understanding of Instructions","demonstrating-understanding-of-instructions","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Demonstrate an understanding of a set of instructions through appropriate responses","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through instructions. are you ready? welcome! our mission is to learn abou"
"20ed6cca-3c3b-4024-ac7e-984823f1c234","Hopping Forward and Backward Safely","g2-movement-hopping-forward-and-backward-safely","Movement","Movement: Basic Movement Skills","1.1 Locomotor Skills: Hopping — 12 official lesson(s)","By the end of the lesson, the learner should be able to name body parts used when hopping, perform hopping in different ","PUBLISHED","none","","","empty","empty","empty","","",""
"e4f13506-90e7-4a14-b887-51244e5f5e12","School: The verb to be: was and were","g2-english-school-the-verb-to-be-was-and-were","English","Listening and Speaking","1.3 Language Structures and Functions — School: The verb to be: was and were","By the end of the lesson, the learner should be able to: use the past forms of the verb to be correctly when talking abo","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through school. are you ready? welcome! our mission is to learn about list"
"bc4a1378-6dff-4dd3-9fbb-0f5b7e9a631e","Representing Numbers 1 to 50 Using Concrete Objects","g2-mathematics-representing-numbers-1-to-50-using-concrete-objects","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environme","PUBLISHED","draft","","10","empty","clean","clean","","",""
"b4130ea8-b7a0-4e57-9574-8354cf7cd146","Kusoma silabi na maneno yenye g, d, j na r","g2-kiswahili-kusoma-silabi-na-maneno-yenye-g-d-j-na-r","Kiswahili","Sauti na Herufi","Shuleni — Silabi na maneno yenye sauti lengwa","By the end of the lesson, the learner should be able to: blend syllables to read simple words containing the target soun","PUBLISHED","none","","","empty","empty","empty","","",""
"4c27e810-25cd-42a3-9026-e716b17e59e9","Representing Numbers 51 to 100 Using Concrete Objects","g2-mathematics-representing-numbers-51-to-100-using-concrete-objects","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environme","PUBLISHED","both","10","10","contaminated","contaminated","contaminated","FORBIDDEN: ""reading comprehension""; FORBIDDEN: ""read a short passage""; FORBIDDEN: ""good readers""; FORBIDDEN: ""words say""; FORBIDDEN: ""what did you learn about reading""; GENERIC: ""here is what you need to know""; GENERIC: ""this is an example sentence""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""; REFLECTION_MISMATCH: Math asks about reading","FORBIDDEN: ""reading comprehension""; FORBIDDEN: ""read a short passage""; FORBIDDEN: ""good readers""; FORBIDDEN: ""words say""; FORBIDDEN: ""what did you learn about reading""; GENERIC: ""here is what you need to know""; GENERIC: ""this is an example sentence""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""; REFLECTION_MISMATCH: Math asks about reading","hello! today we will learn about reading comprehension together. hello, friend! today we are going to learn about reading comprehension through everyday life. are you ready? welcome! our mission is to"
"8d2866fb-6f4a-4734-9ebe-187bb2f0cfe4","Good Oral Habits for Healthy Teeth","g2-hygiene-nutrition-good-oral-habits-for-healthy-teeth","Hygiene & Nutrition","Health Practices","1.2 Oral Hygiene — 4 official lesson(s)","By the end of the lesson, the learner should be able to identify good oral habits, identify harmful oral habits, practis","PUBLISHED","none","","","empty","empty","empty","","",""
"95f72b5f-cd3e-41bb-9e57-fdc655e3185d","Hopping to the Right and Left","g2-movement-hopping-to-the-right-and-left","Movement","Movement: Basic Movement Skills","1.1 Locomotor Skills: Hopping — 12 official lesson(s)","By the end of the lesson, the learner should be able to name body parts used when hopping, perform hopping in different ","PUBLISHED","none","","","empty","empty","empty","","",""
"e2fec405-b50a-47ff-8648-ca2a779c26a4","Conventions of Instructions and Questions","conventions-of-instructions-and-questions","English Language Activities","1.0 Listening","1.1 Listen to Instructions and Questions","Demonstrate conventions of giving instructions and asking questions","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through instructions. are you ready? welcome! our mission is to learn abou"
"ef1b95cd-fea0-422e-9704-a27b87534167","School: Reading Short Texts","g2-english-school-reading-short-texts","English","Reading","2.2 Letter-Sound Knowledge / 2.3 Word Reading / 2.4 Fluency — School: The verb to be: was and were","By the end of the lesson, the learner should be able to: read grade-level words and short connected texts related to the","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","hello! today we will learn about reading comprehension together. hello, friend! today we are going to learn about reading comprehension through school. are you ready? welcome! our mission is to learn "
"4fa6c06e-4abf-41c4-84ba-880e82b1987d","Responding Safely to Cold and Rainy Weather","g2-environmental-responding-safely-to-cold-and-rainy-weather","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","none","","","empty","empty","empty","","",""
"927c8769-c466-496f-b9cc-56f06d6c12c2","Words that Rhyme","words-that-rhyme","English Language Activities","1.0 Listening","1.2 Word and Sentence Formation","Recognize words with similar sounds and combine words to make simple sentences","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","hello! today we will learn about vocabulary together. hello, friend! today we are going to learn about vocabulary through word skills. are you ready? welcome! our mission is to learn about vocabulary."
"c679949d-6c7c-49a5-b577-ac1b73eca3f6","Maamkuzi ya asubuhi, mchana na jioni","g2-kiswahili-maamkuzi-ya-asubuhi-mchana-na-jioni","Kiswahili","Kusikiliza na Kuzungumza","Shuleni — Maamkuzi ya nyakati za siku","By the end of the lesson, the learner should be able to: use greetings for different times of the day appropriately at s","PUBLISHED","none","","","empty","empty","empty","","",""
"126fe478-acba-42d4-af6f-7fdb7e300eed","School: Writing Words and Sentences","g2-english-school-writing-words-and-sentences","English","Writing","3.2 Handwriting / 3.3 Spelling / 3.5 Guided Writing — School: The verb to be: was and were","By the end of the lesson, the learner should be able to: spell theme words, write legibly, and write simple meaningful s","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","hello! today we will learn about writing skills together. hello, friend! today we are going to learn about writing skills through school. are you ready? welcome! our mission is to learn about writing "
"08cfcf1e-6f30-4488-909d-a79abb67807d","Hopping in Straight and Curved Pathways","g2-movement-hopping-in-straight-and-curved-pathways","Movement","Movement: Basic Movement Skills","1.1 Locomotor Skills: Hopping — 12 official lesson(s)","By the end of the lesson, the learner should be able to name body parts used when hopping, perform hopping in different ","PUBLISHED","none","","","empty","empty","empty","","",""
"239becec-4f84-4e38-8169-a0bc72730d5f","Counting Numbers 1 to 100 Forward","g2-mathematics-counting-numbers-1-to-100-forward","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environme","PUBLISHED","draft","","10","empty","clean","clean","","",""
"f74a8203-d467-49c2-8de9-fae72d10c7bc","Harmful Oral Habits That Damage Teeth","g2-hygiene-nutrition-harmful-oral-habits-that-damage-teeth","Hygiene & Nutrition","Health Practices","1.2 Oral Hygiene — 4 official lesson(s)","By the end of the lesson, the learner should be able to identify good oral habits, identify harmful oral habits, practis","PUBLISHED","none","","","empty","empty","empty","","",""
"b668eedd-fe0f-4d59-8e3f-1aaa5509f4fb","Msamiati wa vifaa na watu shuleni","g2-kiswahili-msamiati-wa-vifaa-na-watu-shuleni","Kiswahili","Msamiati","Shuleni — Msamiati wa shule","By the end of the lesson, the learner should be able to: name school people and objects in Kiswahili and use the words i","PUBLISHED","none","","","empty","empty","empty","","",""
"a7c225a9-20ea-469a-a7f4-0cae63934703","Weather Safety Skit: What Should We Do?","g2-environmental-weather-safety-skit-what-should-we-do","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""","GENERIC: ""here is what you need to know""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""","hello! i am owl. let us learn about what should we do together! hello, friend! today we will learn about what should we do. are you ready? welcome! our mission is to explore what should we do together"
"a7b40eae-1f83-4eb0-9a36-9eaf37e20531","Listening to Stories","listening-to-stories","English Language Activities","1.0 Listening","1.3 Storytelling","Develop vocabulary through listening to stories and show empathy with people, places, and things","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through stories. are you ready? welcome! our mission is to learn about lis"
"ab1aeaeb-51d2-4f78-963c-2b58128d01e3","Kusoma hadithi fupi kuhusu shuleni","g2-kiswahili-kusoma-hadithi-fupi-kuhusu-shuleni","Kiswahili","Kusoma","Shuleni — Hadithi","By the end of the lesson, the learner should be able to: read a short story about school and answer simple oral comprehe","PUBLISHED","none","","","empty","empty","empty","","",""
"04a80f76-bf67-4c8c-b3f0-183a3b205e16","Counting Numbers 1 to 100 Backward","g2-mathematics-counting-numbers-1-to-100-backward","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environme","PUBLISHED","draft","","10","empty","clean","clean","","",""
"1b6fce1c-968f-4271-a117-5f00098a3fe0","Hopping in Circular and Zigzag Pathways","g2-movement-hopping-in-circular-and-zigzag-pathways","Movement","Movement: Basic Movement Skills","1.1 Locomotor Skills: Hopping — 12 official lesson(s)","By the end of the lesson, the learner should be able to name body parts used when hopping, perform hopping in different ","PUBLISHED","none","","","empty","empty","empty","","",""
"f7d0eb95-37ce-42d2-a3aa-4feca6c0c5cd","Describing Weather at Different Times of Day","g2-environmental-describing-weather-at-different-times-of-day","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","none","","","empty","empty","empty","","",""
"d6ac159e-1d99-4999-8151-3c052e2f097b","School: Integrated Review and Assessment","g2-english-school-integrated-review-and-assessment","English","Integrated English Practice","Integrated Review and Formative Assessment — School: The verb to be: was and were","By the end of the lesson, the learner should be able to: use listening, speaking, reading and writing skills together to","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""listen carefully""","hello! today we will learn about grammar together. hello, friend! today we are going to learn about grammar through school. are you ready? welcome! our mission is to learn about grammar. use the right"
"9e3a4c55-28f2-4901-b650-e2214d1ca297","Retelling Stories","retelling-stories","English Language Activities","1.0 Listening","1.3 Storytelling","Recount key details of a story and retell it; appreciate morals taught through different thematic stories","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through stories. are you ready? welcome! our mission is to learn about lis"
"9b5b9a9b-6c0a-4a16-89be-8fcd52aa666f","Keeping a Brushing Record","g2-hygiene-nutrition-keeping-a-brushing-record","Hygiene & Nutrition","Health Practices","1.2 Oral Hygiene — 4 official lesson(s)","By the end of the lesson, the learner should be able to identify good oral habits, identify harmful oral habits, practis","PUBLISHED","none","","","empty","empty","empty","","",""
"ba61386e-a890-4cdc-9537-cf5fa2b0863c","Kusoma nambari 11-50 kwa Kiswahili","g2-kiswahili-kusoma-nambari-11-50-kwa-kiswahili","Kiswahili","Msamiati","Shuleni — Nambari 11-50","By the end of the lesson, the learner should be able to: read number names from eleven to fifty in Kiswahili.","PUBLISHED","none","","","empty","empty","empty","","",""
"7e886e8a-9486-430f-b035-12909bd581a6","Filling in Missing Numbers 1 to 50","g2-mathematics-filling-in-missing-numbers-1-to-50","Mathematics","Numbers","1.1 Number Concept","By the end of the lesson, the learner should be able to: represent numbers 1-100 using concrete objects in the environme","PUBLISHED","draft","","10","empty","likely_clean","likely_clean","","GENERIC: ""listen carefully""",""
"3b3080e4-d232-4f15-b8bb-48bc74a59f87","Drawing Simple Weather Symbols","g2-environmental-drawing-simple-weather-symbols","Environmental","Environment and its resources","1.1 Weather — responding, recording and interpreting weather conditions","By the end of the lesson, the learner should be able to identify weather conditions, respond safely, record weather usin","PUBLISHED","none","","","empty","empty","empty","","",""
"6f63b8a6-4b8c-4b10-bd24-4a86998962d1","Activities in the Home: Listening for Key Ideas","g2-english-activities-in-the-home-listening-for-key-ideas","English","Listening and Speaking","1.1 Attentive Listening — Activities in the Home: Subject-verb agreement: was and were","By the end of the lesson, the learner should be able to: listen attentively, respond to simple two-directional instructi","PUBLISHED","both","10","10","suspicious","suspicious","suspicious","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","GENERIC: ""here is what you need to know""; GENERIC: ""we use this every day""; GENERIC: ""take a moment to think""; GENERIC: ""are you ready""; GENERIC: ""pay attention""; GENERIC: ""listen carefully""","hello! today we will learn about listening skills together. hello, friend! today we are going to learn about listening skills through activities in the home. are you ready? welcome! our mission is to "
